product_id,product_code,product_name,product_type,product_cat,product_segment,product_price
1,PCT001,Planche Charcuterie,Charcuterie,Entrée,Standard,16.0
2,PCT002,Burrata à la Truffe,Fromage,Entrée,Premium,19.5
3,PCT003,Ceviche de Dorade,Poisson,Entrée,Premium,18.0
4,PCT004,Escargots Bourgogne,Spécialité,Entrée,Standard,15.0
5,PCT005,Pizza Margherita,Pizza,Plat,Budget,12.0
6,PCT006,Pizza Diavola,Pizza,Plat,Budget,14.5
7,PCT007,Pizza Truffe & Champ,Pizza,Plat,Premium,21.0
8,PCT008,Pizza 4 Fromages,Pizza,Plat,Standard,16.0
9,PCT009,Steak Frites Poivre,Viande,Plat,Standard,22.0
10,PCT010,Côte de Bœuf (1kg),Viande,Plat,Luxe,65.0
11,PCT011,Filet de Bar Rôti,Poisson,Plat,Premium,26.0
12,PCT012,Linguine aux Palourdes,Pâtes,Plat,Standard,19.0
13,PCT013,Risotto Asperges,Spécialité,Plat,Standard,17.5
14,PCT014,Curry Vegan Coco,Végétarien,Plat,Standard,16.0
15,PCT015,Confit de Canard,Viande,Plat,Standard,20.0
16,PCT016,Fondant Chocolat,Pâtisserie,Dessert,Budget,8.0
17,PCT017,Pavlova Fruits Rouges,Pâtisserie,Dessert,Standard,11.5
18,PCT018,Tarte Citron Meringuée,Pâtisserie,Dessert,Budget,9.0
19,PCT019,Assiette de Fromages,Fromage,Dessert,Standard,12.0
20,PCT020,Bordeaux Grand Cru (Verre),Vin,Boisson,Luxe,10.0
21,PCT021,Vin Rouge Maison (Verre),Vin,Boisson,Budget,5.0
22,PCT022,Chablis Premier Cru (Verre),Vin,Boisson,Premium,7.0
23,PCT023,Sancerre Blanc (Verre),Vin,Boisson,Premium,7.0
24,PCT024,Champagne Cuvée (Verre),Vin,Boisson,Luxe,16.0
25,PCT025,Bordeaux Grand Cru,Vin,Boisson,Luxe,55.0
26,PCT026,Vin Rouge Maison,Vin,Boisson,Budget,15.0
27,PCT027,Chablis Premier Cru,Vin,Boisson,Premium,42.0
28,PCT028,Sancerre Blanc,Vin,Boisson,Premium,38.0
29,PCT029,Champagne Cuvée,Vin,Boisson,Luxe,95.0
30,PCT030,Espresso Double,Café,Boisson,Budget,4.0
31,PCT031,Cocktail Spritz,Cocktail,Boisson,Standard,10.0
32,PCT032,Jus Pomme Ginger,Jus,Boisson,Budget,6.0
33,PCT033,Digestif Cognac,Alcool,Boisson,Premium,12.0
34,PCT034,Thé Infusion,Thé,Boisson,Budget,5.0
